127.0.0.1 - - [23/Apr/2021:10:17:44 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [23/Apr/2021:10:17:45 +0900] "GET /0421_Web_Basic/jumin_onkeyup.html HTTP/1.1" 200 1255
0:0:0:0:0:0:0:1 - - [23/Apr/2021:10:18:19 +0900] "GET /0421_Web_Basic/jumin_onkeyup.html HTTP/1.1" 200 1254
0:0:0:0:0:0:0:1 - - [23/Apr/2021:10:19:09 +0900] "GET /0421_Web_Basic/jumin_onkeyup.html HTTP/1.1" 200 1288
0:0:0:0:0:0:0:1 - - [23/Apr/2021:10:19:35 +0900] "GET /0421_Web_Basic/jumin_onkeyup.html HTTP/1.1" 200 1350
0:0:0:0:0:0:0:1 - - [23/Apr/2021:10:19:36 +0900] "GET /0421_Web_Basic/jumin_onkeyup.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2021:10:19:59 +0900] "GET /0421_Web_Basic/jumin_onkeyup.html HTTP/1.1" 200 1354
0:0:0:0:0:0:0:1 - - [23/Apr/2021:10:20:02 +0900] "GET /0421_Web_Basic/jumin_onkeyup.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2021:10:20:03 +0900] "GET /0421_Web_Basic/jumin_onkeyup.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2021:10:20:03 +0900] "GET /0421_Web_Basic/jumin_onkeyup.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2021:10:20:35 +0900] "GET /0421_Web_Basic/jumin_onkeyup.html HTTP/1.1" 200 1286
0:0:0:0:0:0:0:1 - - [23/Apr/2021:10:28:54 +0900] "GET /0421_Web_Basic/jumin_onkeyup.html HTTP/1.1" 200 2817
0:0:0:0:0:0:0:1 - - [23/Apr/2021:10:31:02 +0900] "GET /0421_Web_Basic/jumin_onkeyup.html HTTP/1.1" 200 2826
0:0:0:0:0:0:0:1 - - [23/Apr/2021:10:33:01 +0900] "GET /0421_Web_Basic/jumin_onkeyup.html HTTP/1.1" 200 2880
0:0:0:0:0:0:0:1 - - [23/Apr/2021:10:33:30 +0900] "GET /0421_Web_Basic/jumin_onkeyup.html HTTP/1.1" 200 2894
